Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
51.0,90273459.31362,149055076.4692916,90279206.51121664,149064466.68631786,78460847.05222169,130586112.26155624
51.5,90270874.21755822,149050852.73891768,90276444.5179396,149059953.9275584,78308261.48382266,130344182.41039017
52.0,90268394.08169293,149046800.50065058,90273792.42113794,149055620.72618097,78155675.91542363,130102252.5592241
52.5,90266014.64442512,149042912.79155943,90271245.84815975,149051459.9378078,78003090.3470246,129860322.70805803
53.0,90263731.8171854,149039182.9314226,90268800.60033573,149047464.7023275,77850504.77862558,129618392.85689196
53.5,90261541.67740873,149035604.5112491,90266452.64605679,149043628.4325845,77697919.21022655,129376463.00572589
54.0,90259440.46179417,149032171.38226616,90264198.11412677,149039944.8035184,77545333.64182752,129134533.15455982
54.5,90257424.55983856,149028877.6453538,90262033.2873799,149036407.7417356,77392748.0734285,128892603.30339375
55.0,90255490.50763258,149025717.64090833,90259954.59655209,149033011.41549566,77240162.50502947,128650673.45222768
55.5,90253634.98190866,149022685.9391176,90257958.61439607,149029750.2250963,77087576.93663044,128408743.60106161
56.0,90251854.79433078,149019777.330631,90256042.05003072,149026618.79364073,76934991.36823142,128166813.74989554
56.5,90250146.88601582,149016986.81760815,90254201.74351524,149023611.95817274,76782405.79983239,127924883.89872947
57.0,90248508.32227764,149014309.60513127,90252434.66063915,149020724.76116395,76629820.23143336,127682954.0475634
57.5,90246936.28758436,149011741.09296608,90250737.88791966,149017952.4423403,76477234.66303433,127441024.19639733
58.0,90245428.08072042,149009276.8676572,90249108.62779804,149015290.4308335,76324649.09463531,127199094.34523126
58.5,90243981.11014521,149006912.69494462,90247544.19402714,149012734.3376446,76172063.52623628,126957164.4940652
59.0,90242592.88953993,149004644.51248792,90246042.00724246,149010279.94840795,76019477.95783725,126715234.64289913
59.5,90241261.03353544,149002468.42288604,90244599.59070934,149007923.21644244,75866892.38943823,126473304.79173306
60.0,90239983.25361344,149000380.68698043,90243214.56623957,149005660.25607973,75714306.8210392,126231374.94056699
60.5,90238757.35417423,148998377.71742994,90241884.65027018,149003487.33625764,75561721.25264017,125989445.08940092
61.0,90237581.22876388,148996456.07254693,90240607.65009853,149001400.87436858,75409135.68424115,125747515.23823485
61.5,90236452.85645486,148994612.45038328,90239381.46026705,148999397.43035272,75256550.11584212,125505585.38706878
62.0,90235370.29837343,148992843.6830567,90238204.05909187,148997473.7010262,75103964.54744309,125263655.53590271
62.5,90234331.69436805,148991146.73130748,90237073.50532952,148995626.51463494,74951378.97904406,125021725.68473664
63.0,90233335.25981319,148989518.679276,90235987.93497634,148993852.82562527,74798793.41064504,124779795.83357057
63.5,90232379.28254278,148987956.72949257,90234945.55819522,148992149.7096225,74646207.84224601,124537865.9824045
64.0,90231462.11990817,148986458.1980705,90233944.65636453,148990514.3586094,74493622.27384698,124295936.13123843
64.5,90230582.1959556,148985020.51009437,90232983.57924463,148988944.07629648,74341036.70544796,124054006.28007236
65.0,90229737.99871834,148983641.19519565,90232060.74225692,148987436.2736764,74188451.13704893,123812076.42890629
65.5,90228928.0776185,148982317.88330778,90231174.62387139,148985988.46475542,74035865.5686499,123570146.57774022
66.0,90228151.0409747,148981048.3005938,90230323.76309788,148984598.26245454,73883280.00025088,123328216.72657415
66.5,90227405.55361065,148979830.2655391,90229506.75707732,148983263.3746739,73730694.43185185,123086286.87540808
67.0,90226690.33456093,148978661.6852032,90228722.2587688,148981981.60051355,73578108.86345282,122844357.02424201
67.5,90226004.15487,148977540.5516231,90227968.97472852,148980750.82664478,73425523.2950538,122602427.17307594
68.0,90225345.83548036,148976464.93836337,90227245.66297735,148979569.02382576,73272937.72665477,122360497.32190987
68.5,90224714.24520671,148975432.99720573,90226551.13095301,148978434.2435558,73120352.15825574,122118567.4707438
69.0,90224108.29879221,148974442.95497334,90225884.23354393,148977344.61486283,72967766.58985671,121876637.61957774
69.5,90223526.95504358,148973493.110484,90225243.87120116,148976298.3412185,72815181.02145769,121634707.76841167
70.0,90222969.21504223,148972581.83162698,90224628.98812549,148975293.69757622,72662595.45305866,121392777.9172456
70.5,90222434.12042764,148971707.5525586,90224038.57052673,148974329.02752703,72510009.88465963,121150848.06607953
71.0,90221920.75175072,148970868.77101162,90223471.64495227,148973402.7405685,72357424.3162606,120908918.21491346
71.5,90221428.22689387,148970064.04571396,90222927.27668197,148972513.3094824,72204838.74786158,120666988.36374739
72.0,90220955.69955531,148969291.99391213,90222404.56818715,148971659.2678168,72052253.17946255,120425058.51258132
72.5,90220502.35779479,148968551.28899524,90221902.65765071,148970839.20746815,71899667.61106353,120183128.66141525
73.0,90220067.4226386,148967840.65821555,90221420.71754627,148970051.77635965,71747082.0426645,119941198.81024918
73.5,90219650.14674082,148967158.88050148,90220957.95327374,148969295.67621207,71594496.47426547,119699268.95908311
74.0,90219249.81309944,148966504.78435943,90220513.60184926,148968569.6604032,71441910.90586644,119457339.10791704
74.5,90218865.7338241,148965877.24586084,90220086.93064716,148967872.53191245,71289325.33746742,119215409.25675097
75.0,90218497.24895424,148965275.18671104,90219677.23619214,148967203.14134732,71136739.76906839,118973479.4055849
75.5,90218143.72532505,148964697.57239622,90219283.84299931,148966560.38504824,70984154.20066936,118731549.55441883
76.0,90217804.55547953,148964143.410406,90218906.10246056,148965943.20326898,70831568.63227034,118489619.70325276
76.5,90217479.15662462,148963611.74852794,90218543.39177513,148965350.57842937,70678983.06387131,118247689.8520867
77.0,90217166.96962988,148963101.67321143,90218195.11292277,148964781.53343758,70526397.49547228,118005760.00092062
