Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt
118.0,90210036.68097505,148951451.65478024,90210091.23758315,148951540.79359642,58014380.88675162,98167512.20530292
118.5,90210026.67373997,148951435.3041837,90210079.26004007,148951521.2237579,57861795.31835259,97925582.35413685
119.0,90210017.07281914,148951419.61745486,90210067.7590694,148951502.43258032,57709209.74995355,97683652.50297078
119.5,90210007.86171538,148951404.56763935,90210056.71570887,148951484.3890817,57556624.18155452,97441722.65180472
120.0,90209999.02460128,148951390.1288772,90210046.11175072,148951467.0635127,57404038.613155484,97199792.80063865
120.5,90209990.54629213,148951376.27635837,90210035.92971164,148951450.4273078,57251453.04475645,96957862.94947258
121.0,90209982.4122197,148951362.98628017,90210026.15280396,148951434.453038,57098867.476357415,96715933.0983065
121.5,90209974.60840729,148951350.23580638,90210016.76490796,148951419.11436567,56946281.90795838,96474003.24714044
122.0,90209967.12144563,148951338.00302795,90210007.75054535,148951404.38600114,56793696.33955935,96232073.39597437
122.5,90209959.93846996,148951326.2669254,90209999.09485367,148951390.24366096,56641110.77116031,95990143.5448083
123.0,90209953.04713783,148951315.00733265,90209990.7835618,148951376.66402793,56488525.20276128,95748213.69364223
123.5,90209946.4356079,148951304.20490244,90209982.8029665,148951363.6247126,56335939.63436224,95506283.84247616
124.0,90209940.09251961,148951293.841073,90209975.13990974,148951351.1042163,56183354.06596321,95264353.99131009
124.5,90209934.00697371,148951283.8980363,90209967.78175703,148951339.08189592,56030768.497564174,95022424.14014402
125.0,90209928.16851345,148951274.35870725,90209960.71637659,148951327.53792956,55878182.92916514,94780494.28897795
125.5,90209922.56710663,148951265.2066945,90209953.93211935,148951316.45328408,55725597.360766105,94538564.43781188
126.0,90209917.19312842,148951256.42627224,90209947.41779976,148951305.80968365,55573011.79236707,94296634.58664581
126.5,90209912.03734472,148951248.0023531,90209941.1626773,148951295.5895796,55420426.22396804,94054704.73547974
127.0,90209907.09089641,148951239.92046234,90209935.15643884,148951285.77612153,55267840.655569,93812774.88431367
127.5,90209902.34528403,148951232.1667129,90209929.38918157,148951276.35312945,55115255.08716997,93570845.0331476
128.0,90209897.79235324,148951224.7277816,90209923.85139671,148951267.30506718,54962669.51877093,93328915.18198153
128.5,90209893.42428078,148951217.59088612,90209918.53395382,148951258.6170167,54810083.9503719,93086985.33081546
129.0,90209889.233561,148951210.7437632,90209913.42808573,148951250.27465358,54657498.381972864,92845055.4796494
