Tempo,Euler-Ct,Euler-Nt,Runge-Kutta-Ct,Runge-Kutta-Nt,Adams_Bashforth-Ct,Adams_Bashforth-Nt,Adams_Bash_Moulton-Ct,Adams_Bash_Moulton-Nt,Analítica - Ct,Analítica - Nt
87.5,90212879.36809939,148956096.25740376,90213373.10874505,148956902.96915144,67322100.55909272,112925233.12643316,90212836.43883884,148956026.11624944,90213373.10814865,148956902.96817696
88.0,90212753.94194293,148955891.32642475,90213230.54939485,148956670.0446321,67169514.99069369,112683303.2752671,90212715.23299164,148955828.08073893,90213230.5488189,148956670.0436911
88.5,90212633.60834539,148955694.71606335,90213093.66231409,148956446.38790643,67016929.422294654,112441373.42410102,90212598.84978159,148955637.92482692,90213093.66175792,148956446.38699767
89.0,90212518.16053843,148955506.08848545,90212962.22180985,148956231.63021973,66864343.85389562,112199443.57293496,90212487.09732167,148955455.3349935,90212962.22127278,148956231.6293422
89.5,90212407.40014899,148955325.11957368,90212836.01116922,148956025.41748968,66711758.285496585,111957513.72176889,90212379.79135984,148955280.01019338,90212836.01065063,148956025.41664234
90.0,90212301.13685828,148955151.4983705,90212714.82230207,148955827.40972248,66559172.71709755,111715583.87060282,90212276.75497517,148955111.66135946,90212714.82180133,148955827.40890434
90.5,90212199.18807489,148954984.9265439,90212598.4553979,148955637.28045225,66406587.148698516,111473654.01943675,90212177.81828624,148954950.01092634,90212598.4549144,148955637.2796623
91.0,90212101.37862098,148954825.1178747,90212486.71859646,148955454.71620286,66254001.58029948,111231724.16827068,90212082.81817104,148954794.79237255,90212486.71812965,148955454.71544018
91.5,90212007.54043129,148954671.79776493,90212379.42767139,148955279.41597098,66101416.01190045,110989794.31710461,90211991.59799795,148954645.74978125,90212379.4272207,148955279.41523463
92.0,90211917.51226437,148954524.7027657,90212276.40572648,148955111.0907299,65948830.44350141,110747864.46593854,90211904.00736754,148954502.63741818,90212276.40529136,148955111.09001896
92.5,90211831.13942547,148954383.58012483,90212177.48290402,148954949.46295285,65796244.87510238,110505934.61477247,90211819.9018646,148954365.21932662,90212177.48248395,148954949.46226647
93.0,90211748.27350079,148954248.1873523,90212082.49610473,148954794.26615563,65643659.306703344,110264004.7636064,90211739.14282006,148954233.2689382,90212082.4956992,148954794.26549304
93.5,90211668.77210242,148954118.29180375,90211991.28871885,148954645.2444571,65491073.73830431,110022074.91244033,90211661.59708229,148954106.56869954,90211991.28832738,148954645.24381745
94.0,90211592.49862373,148953993.67028058,90211903.71036798,148954502.15215728,65338488.169905275,109780145.06127426,90211587.1367976,148953984.90971336,90211903.70999005,148954502.15153977
94.5,90211519.32200453,148953874.10864657,90211819.61665703,148954364.75333238,65185902.60150624,109538215.21010819,90211515.6391995,148953868.0913942,90211819.61629222,148954364.7527363
95.0,90211449.11650598,148953759.40145987,90211738.8689363,148954232.82144567,65033317.033107206,109296285.35894212,90211446.98640615,148953755.92113763,90211738.86858414,148954232.8208703
95.5,90211381.76149452,148953649.35162,90211661.33407272,148954106.13897413,64880731.46470817,109054355.50777605,90211381.06522617,148953648.2140028,90211661.3337328,148954106.1384187
96.0,90211317.14123453,148953543.77002907,90211586.88423051,148953984.49704966,64728145.89630914,108812425.65660998,90211317.7669719,148953544.7924073,90211586.8839024,148953984.49651358
96.5,90211255.1446895,148953442.47526705,90211515.39666025,148953867.6951148,64575560.3279101,108570495.80544391,90211256.98728023,148953445.48583466,90211515.39634356,148953867.69459733
97.0,90211195.66533121,148953345.29327992,90211446.75349663,148953755.540592,64422974.75951107,108328565.95427784,90211198.62594053,148953350.13055295,90211446.75319095,148953755.54009256
97.5,90211138.60095672,148953252.05708057,90211380.84156404,148953647.84856626,64270389.191112034,108086636.10311177,90211142.58672942,148953258.569345,90211380.84126902,148953647.84808418
98.0,90211083.85351276,148953162.6064619,90211317.55219,148953544.44147998,64117803.622713,107844706.2519457,90211088.77725218,148953170.6512491,90211317.55190526,148953544.44101474
98.5,90211031.32892719,148953076.78772166,90211256.78102598,148953445.1488405,63965218.054313965,107602776.40077963,90211037.10879032,148953086.2313102,90211256.78075117,148953445.14839146
99.0,90210980.9369474,148952994.45339808,90211198.42787535,148953349.80693874,63812632.48591493,107360846.54961357,90210987.4961554,148953005.1703407,90211198.42761013,148953349.80650538
99.5,90210932.59098524,148952915.46201673,90211142.3965282,148953258.25857952,63660046.917515896,107118916.6984475,90210939.85754848,148952927.33469117,90211142.39627224,148953258.2581613
100.0,90210886.20796819,148952839.6778473,90211088.59460267,148953170.3528222,63507461.34911686,106876986.84728143,90210894.11442533,148952852.59603,90211088.59435566,148953170.3524186
100.5,90210841.70819667,148952766.9706704,90211036.93339272,148953085.94473195,63354875.78071783,106635056.99611536,90210850.1913669,148952780.83113167,90211036.93315433,148953085.94434246
101.0,90210799.01520702,148952697.21555385,90210987.32772174,148953004.89514068,63202290.21231879,106393127.14494929,90210808.01595496,148952711.92167366,90210987.32749172,148953004.89476484
101.5,90210758.05564024,148952630.29263797,90210939.69580227,148952927.07041764,63049704.64391976,106151197.29378322,90210767.5186527,148952645.7540414,90210939.6955803,148952927.07005498
102.0,90210718.75911579,148952566.0869296,90210893.95910105,148952852.34224913,62897119.075520724,105909267.44261715,90210728.63269016,148952582.2191409,90210893.95888688,148952852.3418992
102.5,90210681.05811074,148952504.4881045,90210850.04220958,148952780.58742687,62744533.50712169,105667337.59145108,90210691.29395403,148952521.21221885,90210850.04200293,148952780.5870892
103.0,90210644.88784376,148952445.39031792,90210807.87271975,148952711.6876449,62591947.938722655,105425407.74028501,90210655.440882,148952462.63269,90210807.87252034,148952711.68731907
103.5,90210610.1861637,148952388.69202256,90210767.3811045,148952645.5293045,62439362.37032362,105183477.88911894,90210621.01436126,148952406.38397127,90210767.3809121,148952645.52899015
104.0,90210576.89344296,148952334.29579416,90210728.50060317,148952582.00332692,62286776.80192459,104941548.03795287,90210587.95763102,148952352.37332246,90210728.50041752,148952582.0030236
104.5,90210544.95247489,148952282.10816407,90210691.16711141,148952521.00497353,62134191.23352555,104699618.1867868,90210556.21618895,148952300.51169342,90210691.16693228,148952521.00468087
105.0,90210514.30837557,148952232.0394587,90210655.31907552,148952462.43367314,61981605.66512652,104457688.33562073,90210525.73770128,148952250.71357718,90210655.31890272,148952462.4333908
105.5,90210484.90848947,148952184.00364533,90210620.89739099,148952406.19285613,61829020.09672748,104215758.48445466,90210496.47191654,148952202.89686903,90210620.89722426,148952406.19258374
106.0,90210456.70229897,148952137.9181844,90210587.84530492,148952352.18979532,61676434.52832845,103973828.63328859,90210468.37058273,148952156.9827311,90210587.84514408,148952352.18953255
106.5,90210429.64133759,148952093.7038876,90210556.10832262,148952300.335453,61523848.959929414,103731898.78212252,90210441.38736771,148952112.89546233,90210556.10816745,148952300.3351995
107.0,90210403.67910668,148952051.28478184,90210525.63411765,148952250.5443342,61371263.39153038,103489968.93095645,90210415.47778288,148952070.56237382,90210525.63396797,148952250.54408962
107.5,90210378.77099554,148952010.5879787,90210496.37244558,148952202.73434567,61218677.823131345,103248039.07979038,90210390.59910975,148952029.91366875,90210496.37230118,148952202.73410973
108.0,90210354.87420475,148951971.54354912,90210468.27506116,148952156.82666054,61066092.25473231,103006109.22862431,90210366.71032958,148951990.88232753,90210468.27492185,148952156.8264329
108.5,90210331.94767264,148951934.0844034,90210441.29563873,148952112.7455884,60913506.68633328,102764179.37745824,90210343.77205567,148951953.40399718,90210441.29550435,148952112.74536884
109.0,90210309.95200467,148951898.14617574,90210415.3896959,148952070.41845044,60760921.11793424,102522249.52629218,90210321.74646853,148951917.41688523,90210415.38956627,148952070.41823867
109.5,90210288.84940591,148951863.66711375,90210390.51452017,148952029.7754597,60608335.54953521,102280319.6751261,90210300.59725343,148951882.86165783,90210390.51439512,148952029.77525538
110.0,90210268.60361591,148951830.5879723,90210366.62909852,148951990.74960595,60455749.98113617,102038389.82396004,90210280.28954054,148951849.68134204,90210366.62897791,148951990.74940887
110.5,90210249.17984644,148951798.85191178,90210343.69404982,148951953.27654517,60303164.41273714,101796459.97279397,90210260.78984752,148951817.82123172,90210343.69393347,148951953.27635506
111.0,90210230.54472181,148951768.40440035,90210321.67155981,148951917.29449356,60150578.844338104,101554530.1216279,90210242.06602418,148951787.22879747,90210321.6714476,148951917.2943102
111.5,90210212.66622141,148951739.19312024,90210300.52531888,148951882.7441256,59997993.27593907,101312600.27046183,90210224.08719961,148951757.85359997,90210300.52521065,148951882.74394876
112.0,90210195.51362476,148951711.16787797,90210280.22046208,148951849.5684763,59845407.707540035,101070670.41929576,90210206.8237312,148951729.64720678,90210280.2203577,148951849.56830573
112.5,90210179.05745868,148951684.28051797,90210260.72351174,148951817.7128472,59692822.139141,100828740.56812969,90210190.24715576,148951702.5631126,90210260.72341107,148951817.7126827
113.0,90210163.26944667,148951658.48483986,90210242.00232221,148951787.12471625,59540236.57074197,100586810.71696362,90210174.33014262,148951676.55666244,90210242.0022251,148951787.12455755
113.5,90210148.1224603,148951633.73651913,90210224.02602687,148951757.75365117,59387651.00234293,100344880.86579755,90210159.04644859,148951651.58497813,90210224.02593322,148951757.75349814
114.0,90210133.59047261,148951609.99303094,90210206.76498726,148951729.55122635,59235065.4339439,100102951.01463148,90210144.37087464,148951627.60688758,90210206.76489693,148951729.55107877
114.5,90210119.64851338,148951587.213577,90210190.19074418,148951702.47094297,59082479.86554486,99861021.16346541,90210130.2792244,148951604.58285686,90210190.19065705,148951702.4708006
115.0,90210106.27262625,148951565.35901555,90210174.2759708,148951676.4681523,58929894.29714583,99619091.31229934,90210116.74826422,148951582.47492507,90210174.27588677,148951676.46801502
